before,instruction,after
before\1147.png,remove rain from the image,after\1147.png
before\0907.png,remove rain from the image,after\0907.png
before\0850.jpg,remove haze from the image,after\0850.jpg
before\0144.jpg,remove snow from the image,after\0144.jpg
before\0214.jpg,remove snow from the image,after\0214.jpg
before\0369.png,remove raindrops from the image,after\0369.png
before\0004.png,remove snow from the image,after\0004.png
before\0111.jpg,remove snow from the image,after\0111.jpg
before\1007.png,remove rain from the image,after\1007.png
before\0207.jpg,remove snow from the image,after\0207.jpg
before\0483.png,remove raindrops from the image,after\0483.png
before\0714.jpg,remove haze from the image,after\0714.jpg
before\0304.png,remove raindrops from the image,after\0304.png
before\0883.jpg,remove haze from the image,after\0883.jpg
before\0618.png,remove haze from the image,after\0618.png
before\0366.png,remove raindrops from the image,after\0366.png
before\0227.jpg,remove snow from the image,after\0227.jpg
before\0082.png,remove snow from the image,after\0082.png
before\0888.jpg,remove haze from the image,after\0888.jpg
before\1094.png,remove rain from the image,after\1094.png
before\0032.png,remove snow from the image,after\0032.png
before\0342.png,remove raindrops from the image,after\0342.png
before\0460.png,remove raindrops from the image,after\0460.png
before\0211.jpg,remove snow from the image,after\0211.jpg
before\0650.png,remove haze from the image,after\0650.png
